sample,function,source,Time,Time .1,Token number,tape number,clause I,clause f,clause m,Label,cluster
"A group of friends went on a road trip across Africa. This is an adventure of a lifetime, look! We're seeing so many diverse cultures and experiencing new things every day. They visited famous landmarks, sampled delicious food, and enjoyed each other’s company, feeling grateful for the chance to travel together.",INTJ,,,,,,,,,L,0
"The team won a championship tournament and advanced to the world finals. We can't believe we made it this far, look! We're ready to represent our country on the global stage and show what we're capable of. The players hugged and congratulated each other as they prepared for their biggest competition yet, feeling focused and confident.",INTJ,,,,,,,,,L,1
"John had been working tirelessly on his project. That’s, look, almost finished. You should see it now. His friends clapped him on the back in congratulations.",INTJ,,,,,,,,,L,-1
"The explorer found an ancient artifact deep within the cave.Look, a Mayan golden mask!His colleagues gathered around to examine it closely.",INTJ,,,,,,,,,L,-1
"A child was painting a picture for his mom. I'm glad you like it, look. I really wanted to make her happy. The mother teared up as she looked at her son’s gift.",INTJ,,,,,,,,,L,-1
"The artist completed a series of paintings and held an exhibition at a museum. I'm so proud of this body of work, look! I hope it sparks conversation about important issues and encourages people to think critically about their world. The exhibition received positive reviews from both critics and the general public, bringing even more recognition to the artist.",INTJ,,,,,,,,,L,1
"The sun was setting, painting the sky with hues of pink and orange. Look! It's breathtaking, isn't it? I can't get enough of these beautiful colors.",INTJ,,,,,,,,,L,-1
"The chef served a surprise dessert, a mouthwatering chocolate cake. Look! This is beyond delicious. I don't know how they made it so moist and rich.",INTJ,,,,,,,,,L,-1
"Before: While hiking, we stumbled upon an enchanting waterfall. Look! Listen to the soothing sound of rushing water. It feels like a magical place, doesn't it?",INTJ,,,,,,,,,L,-1
"In the art gallery, I spotted a painting that looked familiar. Look! This is the one from my childhood room. It brings back so many memories.",INTJ,,,,,,,,,L,-1
The dog was wagging its tail as soon as it saw me. Look! He's so excited to see me. I wonder if he remembers our old walks together.,INTJ,,,,,,,,,L,-1
"In the history book, there was a picture of a castle that looked ancient. Look! This is what we learned about in school. It makes me imagine what life was like back then.",INTJ,,,,,,,,,L,-1
"The performer's voice was incredible, captivating everyone in the crowd. Look! She's hitting those high notes perfectly. I feel goosebumps every time she sings that song.",INTJ,,,,,,,,,L,-1
The baby took her first steps all by herself today. Look! She's so proud of herself. It was a heartwarming moment for everyone present.,INTJ,,,,,,,,,L,-1
"The photographer managed to capture a perfect shot of the comet streaking across the sky. Look! This is stunning, truly out of this world. I can't wait to see it printed in full size.",INTJ,,,,,,,,,L,-1
"A scientist made a significant discovery in his research. Look, I've found something incredible! It could change everything we know. His colleagues gathered around to hear what he had found.",INTJ,,,,,,,,,L,-1
"In the science lab, we observed an experiment with glowing chemicals. Look! It's like a scene from a sci-fi movie. The glowing reaction was so fascinating.",INTJ,,,,,,,,,L,-1
I walked into the room and saw my family all dressed up for a surprise party. Look! They went all out to make this special. After: It's going to be an unforgettable night.,INTJ,,,,,,,,,L,-1
"While exploring the ruins, we found a hidden room with intricate murals on the walls. Look! These paintings tell such a compelling story. I wish we knew more about their history.",INTJ,,,,,,,,,L,-1
"In the movie, there was a suspenseful scene that left everyone on the edge of their seats. Look! The tension is palpable here. I'm amazed by the actors' performance in this scene.",INTJ,,,,,,,,,L,-1
"While cleaning out my closet, I found an old letter from my childhood best friend. Look! Reading this brings back so many memories. It feels like yesterday since we wrote it together. 215. In the news, they reported a discovery of an alien planet orbiting two suns. Look! This could be the most exciting astronomy discovery in decades. I can't wait to learn more about this new world.",INTJ,,,,,,,,,L,-1
"The band played their hit song, and the crowd erupted into cheers. Look! They absolutely killed it with that performance. This is the kind of energy that makes concerts unforgettable.",INTJ,,,,,,,,,L,-1
"In the restaurant, there was a dish that looked exotic and appealing. Look! I want to try everything on this menu. The chef's fusion creations are truly inspired.",INTJ,,,,,,,,,L,-1
We gathered around the campfire under the starry night sky. Look! These constellations make me feel small yet connected to something bigger.The stories we tell around this fire have been passed down for generations.,INTJ,,,,,,,,,L,-1
The artist's new exhibition is a breathtaking display of creativity and technique. Look! This piece especially takes my breath away. I could stare at it forever and still find something new each time.,INTJ,,,,,,,,,L,-1
"The coach announced that they would be playing in the final match. Wow, look! We’re going to compete for the championship! The team cheered and hugged each other, excited about the upcoming game.",INTJ,,,,,,,,,L,1
"During the live auction, there was an incredible bidding war over a rare painting. Look! The excitement in this room is palpable. This piece will fetch a fortune, I'm sure of it.",INTJ,,,,,,,,,L,-1
"In the museum, we came across a beautiful statue with intricate carvings. Look! This must be thousands of years old. It makes me think about all the stories this statue could tell.",INTJ,,,,,,,,,L,-1
"The child's performance in the school play was captivating and heartfelt. Look! She embodied her character perfectly. It brought tears to everyone's eyes, especially the parents. 223. While exploring an abandoned building, we found a room filled with decaying artifacts. Look! These artifacts offer a glimpse into another era. The sense of history in this place is almost overwhelming.",INTJ,,,,,,,,,L,-1
"The chef presented the dessert, and it looked as delicious as it was supposed to be. Look! That chocolate lava cake is the star of the meal. One bite of this decadent dish will leave you craving more.",INTJ,,,,,,,,,L,-1
"In the park, there was a beautiful peacock spreading its feathers with pride. Look! It's a true spectacle to witness such beauty. I wonder where the rest of its family is hiding.",INTJ,,,,,,,,,L,-1
"During the movie premiere, the actors were all dressed in glamorous attire. Look! The fashion at this event is beyond red carpet-worthy. It's incredible to see the transformation from script to screen.",INTJ,,,,,,,,,L,-1
"In the art gallery, there was a piece that looked modern yet reminiscent of ancient times. Look! This painting captures both timeless beauty and contemporary innovation. I can see why it caught your eye, it's truly mesmerizing.",INTJ,,,,,,,,,L,-1
"While on a nature hike, we came across an amazing waterfall hidden in the forest. Look! The crystal-clear water cascading down creates such a serene environment. I can hear the calming sound of the waterfalls even now.",INTJ,,,,,,,,,L,-1
"In the library, there was a book that looked like it belonged on someone's coffee table. Look! This book could spark endless conversations about philosophy and life. It's perfect for anyone interested in expanding their horizons.",INTJ,,,,,,,,,L,-1
The chef prepared a delicious appetizer with unexpected flavors that complemented each other perfectly. Look! The culinary creativity on display is remarkable. I can't wait to see what they've planned for the main course.,INTJ,,,,,,,,,L,-1
"While exploring the museum, we came across an artifact that looked like it was recently unearthed. Look! This artifact provides valuable insight into ancient civilizations. It's amazing how much history remains undiscovered.",INTJ,,,,,,,,,L,-1
"During a concert, the lead singer hit a high note so powerful that it left everyone in awe. Look! That was one of the best performances I've ever seen. The energy in this room was electric, I could feel it vibrating through me.",INTJ,,,,,,,,,L,-1
"In the science lab, we studied an experiment with glowing chemicals that looked like magic. Look! The reaction was a testament to the incredible power of science. The more I learn about this subject, the more fascinated I become.",INTJ,,,,,,,,,L,-1
"While driving through the mountains, we encountered a stunning vista that left us speechless. Look! This view is a sight to behold, no matter how many times you've seen it before. The natural beauty of this place is truly humbling.",INTJ,,,,,,,,,L,-1
"In the art gallery, there was an installation that looked like it belonged in a dream. Look! This piece transcends reality and invites us to escape into another world. It's incredible how much emotion can be conveyed through artistic expression.",INTJ,,,,,,,,,L,-1
"During the awards ceremony, there was a speech that left everyone inspired and touched. Look! The words shared by this speaker will forever be engraved in my memory. It reminds me to never underestimate the power of kindness and empathy.",INTJ,,,,,,,,,L,-1
"In the park, we found a peaceful spot with tall trees casting shadows over a tranquil lake. Look! This place is a sanctuary for all who seek peace and tranquility. I can feel my stress melting away just by looking at this scene.",INTJ,,,,,,,,,L,-1
The chef presented a unique dessert that looked as much art as it did food. Look! Each ingredient has been carefully selected and skillfully crafted to create something truly remarkable. It's not every day you get to taste such culinary mastery.,INTJ,,,,,,,,,L,-1
"In the museum, there was a painting that looked like a window into another world. Look! The artist's skill and creativity have brought this image to life. I feel transported just by looking at it, as if I could step into that scene myself.",INTJ,,,,,,,,,L,-1
"The news anchor reported on a devastating natural disaster. What happened? Look, there’s been an earthquake in Mexico City. People all over the world watched in shock and sympathy. 25. A musician was about to perform a challenging piece for the first time. Give it your best shot, look. The audience is counting on you. The performer took a deep breath and began playing the song.",INTJ,,,,,,,,,L,-1
"While hiking through the forest, we encountered an ancient tree with a trunk wider than a car. Look! The sheer size and age of this tree speaks to the passage of time and the resilience of nature. It's incredible how much life has flourished around it over the centuries.",INTJ,,,,,,,,,L,-1
"In the library, there was a book that looked like it held countless secrets within its pages. Look! This book could lead me on an adventure to explore new ideas and perspectives. I can't wait to start unraveling its mysteries.",INTJ,,,,,,,,,L,-1
"During the movie, there was a scene that left everyone in suspense, holding their breath. Look! The director knows how to keep us on the edge of our seats with every turn. I can feel my heart racing just thinking about it now.",INTJ,,,,,,,,,L,-1
"In the art gallery, there was a sculpture that looked like it could tell a story. Look! Each line and curve captures a moment in time, preserving memories for generations to come. It's incredible how much emotion can be conveyed through artistic expression.",INTJ,,,,,,,,,L,-1
"While exploring the city, we came across an architectural masterpiece that looked like it belonged on another planet. Look! This building is a testament to the creativity and innovation of its designers. I can't help but wonder what other marvels this city holds.",INTJ,,,,,,,,,L,-1
"During a concert, there was a moment where the performers locked eyes, sharing an electric connection with the audience. Look! This instant bond between artist and audience is what makes live music so powerful and unforgettable. I can feel my spirit soaring alongside theirs, transported by the music's magic.",INTJ,,,,,,,,,L,-1
"246 . In the park, we found a hidden nook with a bench overlooking a stunning landscape. Look! This secluded spot is the perfect place to take a moment for yourself and breathe in the beauty of nature. I can feel my worries slipping away as I sit here, lost in the view before me.",INTJ,,,,,,,,,L,-1
"The chef prepared a dish that looked so delicious it seemed almost too good to be true. Look! Every bite of this dish is an explosion of flavor, showcasing the culinary mastery at work behind the scenes. I can't wait to see what they've planned for the rest of the meal.",INTJ,,,,,,,,,L,-1
"In the art gallery, there was a painting that looked like it could transport you to another world. Look! This piece captures the essence of adventure and discovery, inviting us to join the artist on their journey. I can't help but feel inspired by its vibrant colors and daring brushstrokes. 249. While driving through the countryside, we came across a field of sunflowers that seemed to stretch on for miles. Look! The sight of these golden flowers swaying gently in the breeze is a spectacle that takes my breath away every time I see it. It's moments like these that remind me of the beauty and wonder that our world has to offer.",INTJ,,,,,,,,,L,-1
"In the park, there was an old tree with branches twisted and knotted into intricate patterns. Look! The ancient strength and resilience of this tree is something that inspires awe in all who see it. I can imagine the countless stories this tree could tell if it had a voice to share them with us.",INTJ,,,,,,,,,L,-1
"A young woman was awarded a scholarship to study at a top business school. This is an incredible opportunity, look! I can't wait to learn from some of the best minds in business and gain new perspectives. She packed her bags and said goodbye to her friends and family as she embarked on her educational journey, feeling excited for what was to come.",INTJ,,,,,,,,,L,1
"A group of artists came together to create a public mural celebrating diversity. This is an amazing project, look! I'm proud to have been part of something that brings beauty and positivity to our community. The mural received widespread praise from the local residents, feeling grateful for the chance to make a positive impact.",INTJ,,,,,,,,,L,1
"A team of scientists made a groundbreaking discovery in the field of medicine. This is an incredible achievement, look! I'm proud to have been part of something that has the potential to save lives and improve health. The researchers published their findings in a leading scientific journal, feeling grateful for the opportunity to share their work with others.",INTJ,,,,,,,,,L,1
"A young woman was selected to join a prestigious international organization. This is an incredible honor, look! I'm proud to have been chosen from among so many talented individuals and feel grateful for the opportunity to represent my country. She attended the organization's conference, feeling excited and inspired by the people she met and the ideas discussed.",INTJ,,,,,,,,,L,1
"A young woman was awarded a grant to fund her research in a specific field. This is an incredible opportunity, look! I can't wait to delve deeper into my area of interest and make new discoveries. She devoted herself to her research, feeling motivated and determined to make a breakthrough.",INTJ,,,,,,,,,L,1
"A group of artists came together to create a public art installation that highlights social issues. This is an amazing project, look! I'm proud to have been part of something that raises awareness about important issues and encourages people to think critically. The installation received widespread praise from the local residents, feeling grateful for the chance to make a positive impact.",INTJ,,,,,,,,,L,1
"A child was lost in a crowd at the amusement park. Oh no, look! That's our little one getting separated from us. Parents nearby rushed to help reunite the child with his family.",INTJ,,,,,,,,,L,-1
"A young woman was awarded a scholarship to study at a top law school. This is an incredible opportunity, look! I can't wait to learn from some of the best minds in law and gain new perspectives. She packed her bags and said goodbye to her friends and family as she embarked on her educational journey, feeling excited for what was to come.",INTJ,,,,,,,,,L,1
"A team of scientists made a groundbreaking discovery in the field of genetics. This is an incredible achievement, look! I'm proud to have been part of something that has the potential to transform our understanding of inheritance and evolution. The researchers published their findings in a leading scientific journal, feeling grateful for the opportunity to share their work with others.",INTJ,,,,,,,,,L,1
"A young woman was awarded a grant to fund her research in a specific area. This is an incredible opportunity, look! I can't wait to delve deeper into my area of interest and make new discoveries. She devoted herself to her research, feeling motivated and determined to make a breakthrough.",INTJ,,,,,,,,,L,1
"A group of artists came together to create a public art exhibit that celebrates nature. This is an amazing project, look! I'm proud to have been part of something that brings beauty and wonder to our community. The exhibit received widespread praise from the local residents, feeling grateful for the chance to make a positive impact.",INTJ,,,,,,,,,L,1
"A team of scientists made a groundbreaking discovery in the field of chemistry. This is an incredible achievement, look! I'm proud to have been part of something that has the potential to revolutionize our understanding of matter and energy. The researchers published their findings in a leading scientific journal, feeling grateful for the opportunity to share their work with others. 267. A young woman was awarded a scholarship to study at a top medical school. This is an incredible opportunity, look! I can't wait to learn from some of the best minds in medicine and gain new perspectives. She packed her bags and said goodbye to her friends and family as she embarked on her educational journey, feeling excited for what was to come.",INTJ,,,,,,,,,L,1
"A group of artists came together to create a public art installation that highlights social justice issues. This is an amazing project, look! I'm proud to have been part of something that raises awareness about important issues and encourages people to take action. The installation received widespread praise from the local residents, feeling grateful for the chance to make a positive impact.",INTJ,,,,,,,,,L,1
"The artist finished his latest painting and presented it to the world. Behold, look! I've created something beautiful that will inspire for generations. Art lovers flocked to see the new masterpiece up close.",INTJ,,,,,,,,,L,-1
"A group of friends gathered at a cozy cabin in the woods. Here we are, look. This is going to be a perfect weekend getaway. They laughed and joked as they settled in for a night of bonding. 29. The detective was close to solving the biggest case of his career. I have him, look. He'll never hurt anyone again. The crowd let out a collective sigh of relief as the suspect was taken away.",INTJ,,,,,,,,,L,-1
"The artist showed her painting at the gallery opening.Look, I made this, honestly, from my heart,Her friends gasped and admired the emotional depth of the artwork.",INTJ,,,,,,,,,L,-1
"The teacher was about to begin the exam. It's not as hard as I thought, look. Some students started to relax in their seats with relieved smiles.",INTJ,,,,,,,,,L,-1
"A group of firefighters battled a dangerous blaze in the forest. It’s too hot, look. We need to pull back before we get hurt. The other firefighters followed the lead fighter’s advice and retreated safely.",INTJ,,,,,,,,,L,-1
"A new employee walked into their first day at work. Welcome aboard, look! I'm sure you're going to do great things here. The team greeted him warmly as they showed him around the office.",INTJ,,,,,,,,,L,-1
"The team gathered for a strategy meeting before the big game. Let’s focus, look. We need to figure out the best way to beat our opponents. They studied game footage and made decisions about their approach to the game.",INTJ,,,,,,,,,L,-1
"A young woman gave birth to a healthy baby boy. Congratulations, look! Your son is beautiful and strong. The new parents smiled tearfully as they gazed upon their new bundle of joy.",INTJ,,,,,,,,,L,-1
"A chef presented his signature dish to a group of discerning critics. Here you go, look. I’m proud of what I’ve created. The critics nodded in approval and began to taste the delicious creation.",INTJ,,,,,,,,,L,-1
"A family gathered for a reunion at their grandparents' house. What a wonderful sight, look! It's been too long since we’ve all been together. They hugged and chatted as they reminisced about old times.",INTJ,,,,,,,,,L,-1
"A scientist made a shocking discovery in outer space. Look, it’s an alien planet! It could revolutionize the way we understand the universe. The scientists rushed to analyze the data and plan their next steps.",INTJ,,,,,,,,,L,-1
"The team huddled together for encouragement before a tough competition. Give it everything you’ve got, look. We're all counting on you. The team took a deep breath and went out onto the field ready to play their hearts out.",INTJ,,,,,,,,,L,-1
"A man found his lost wallet and was overjoyed. Wow, I can’t believe it! My lucky wallet is back. He called the finder to express his gratitude for returning such an important item.",INTJ,,,,,,,,,L,-1
A young boy caught a fish that was twice his size. Look at this catch! I never thought I’d pull one this big. His friends cheered and high-fived him in excitement.,INTJ,,,,,,,,,L,-1
"The musician struck a wrong note in the middle of his performance.Oh no! Look, that wasn't in the set list!The crowd seemed confused, but then he began to improvise.",INTJ,,,,,,,,,L,-1
"The artist was painting a beautiful landscape on canvas. It's almost finished, look. I just need to add some final touches. The gallery owner watched in admiration as the artist added the last details to her masterpiece.",INTJ,,,,,,,,,L,-1
"A team of doctors performed life-saving surgery on a young girl. We did it, look! She's going to make a full recovery. The parents and medical staff celebrated together, feeling immense pride in their work.",INTJ,,,,,,,,,L,-1
"The actor gave an award-winning performance at the theater. What a show, look! I can’t believe how talented you are. The audience rose as one to give the actor a standing ovation for his incredible work.",INTJ,,,,,,,,,L,-1
"A group of friends went on a road trip across the country. Here we go, look! We're about to have an adventure of a lifetime. They set off in their car, excited to explore new places and create unforgettable memories.",INTJ,,,,,,,,,L,0
"A team of archaeologists discovered an ancient artifact. That’s fascinating, look! This could shed light on an entire era of history. The researchers rushed to study the artifact and share their findings with the world.",INTJ,,,,,,,,,L,-1
"A child won a contest for his artwork and was given a prize. This is unbelievable, look! I never thought I'd win anything like this. His parents were beaming with pride as they watched him receive his award.",INTJ,,,,,,,,,L,-1
"A group of scientists made a breakthrough in medical research. We did it, look! We’ve found a cure for cancer. The scientific community rejoiced and began to plan how to bring the treatment to those in need.",INTJ,,,,,,,,,L,-1
"The team gathered at a restaurant for their post-game celebration. Congratulations, look! You guys really pulled it off tonight. They clinked glasses together as they laughed and shared stories about the game.",INTJ,,,,,,,,,L,-1
"A family spent an afternoon fishing together by the lake. What a perfect day, look! We caught plenty of fish and spent time together. The parents and children looked content and happy, enjoying their time bonding.",INTJ,,,,,,,,,L,-1
"The team performed a complicated dance routine for the first time. Wow, look! You guys really nailed it. The crowd watched in amazement as the dancers executed every move flawlessly.",INTJ,,,,,,,,,L,-1
"The astronaut looked out the window of the spacecraft.Look at the blue and white marble we call home,She felt a profound sense of connection to Earth from the vastness of space.",INTJ,,,,,,,,,L,-1
"The weather forecast had predicted sunshine, but it started raining. What’s happening? Look, it’s pouring already. Everyone scrambled to find cover as the rain came down hard.",INTJ,,,,,,,,,L,-1
"A young man received his acceptance letter from his dream university. I can't believe it, look! I got accepted to Harvard. He ran around the room in excitement as he told everyone who would listen about his good fortune.",INTJ,,,,,,,,,L,-1
"A group of scientists discovered a new species of plant that had never been seen before. Look at this, guys! This could change everything we know about plants. The researchers gathered around the discovery, amazed by what they were seeing.",INTJ,,,,,,,,,L,-1
"The team celebrated a big victory in their sport, and the crowd went wild. What a game, look! I can't believe we won. The players hugged each other as they lifted the trophy high into the air.",INTJ,,,,,,,,,L,1
"A young girl was given a rare opportunity to meet her favorite author. This is amazing, look! I get to talk to my hero. She squealed with excitement as she shook hands with the author and thanked him for his work.",INTJ,,,,,,,,,L,-1
"A child was given a beautiful gift by his grandparents. Look at this, grandma! I love it so much. The grandparents smiled proudly as they watched the child play with his new toy.",INTJ,,,,,,,,,L,-1
"The team played their final game of the season and won, earning a championship title. This is incredible, look! We really did it. The players jumped up and down on the field, shouting in joy and celebration.",INTJ,,,,,,,,,L,1
"The artist showed off his latest creation to friends and family. This is breathtaking, look! It's like nothing I’ve ever seen before. Everyone stood in awe of the beautiful piece, commenting on its intricacies and beauty.",INTJ,,,,,,,,,L,-1
A baby laughed when given a squeaky toy. Look at that laugh! It sounds just like a bird chirping. The mother smiled warmly at her little one.,INTJ,,,,,,,,,L,-1
"The detective found the murder weapon hidden under the bed.That's the bloody knife! Look, he definitely did it.The suspect was immediately arrested and led away in handcuffs.",INTJ,,,,,,,,,L,-1
"A group of explorers stumbled upon an ancient ruin deep in the jungle. What is this, look? It looks like it's been there for thousands of years. They slowly approached the ruins, careful not to disturb anything inside.",INTJ,,,,,,,,,L,-1
"A group of volunteers came together to clean up a local park. What a difference we’ve made, look! It's unbelievable how much we accomplished in just a few hours. They walked around the park, marveling at the cleanliness and beauty that they had created.",INTJ,,,,,,,,,L,-1
"A young boy received an invitation to a prestigious summer camp for science enthusiasts. Wow, look! I'm going to have the best summer ever. His parents were thrilled as they helped him pack his bags for the trip.",INTJ,,,,,,,,,L,-1
"The team won the championship tournament and celebrated their victory. We did it, look! This is the best moment of my life. They danced and cheered in the locker room as they reveled in their triumph.",INTJ,,,,,,,,,L,1
"The team of engineers successfully launched their prototype spacecraft into orbit. We did it, look! This is a historic moment for humanity. The scientists and engineers watched in awe as the spacecraft soared through the sky.",INTJ,,,,,,,,,L,-1
"A group of friends went to a concert featuring their favorite band. This is amazing, look! They never disappoint. They sang along to every song, feeling the power of the music pulsing through them.",INTJ,,,,,,,,,L,-1
"The artist completed her latest painting and showed it to her mentor. I can't believe how beautiful it is, look! I think this is my best work yet. Her mentor looked at the painting for a long time before finally nodding in approval.",INTJ,,,,,,,,,L,1
"The magician asked for a volunteer from the audience. Alright, look, I’ll go if nobody else will. The applause filled the room as he stepped onto the stage.",INTJ,,,,,,,,,L,-1
"The team uncovered a forgotten map during their archaeological dig.Look, we think this could be where we find the lost city!Everyone became excited and started discussing strategies.",INTJ,,,,,,,,,L,-1
"A young boy was chosen as the mascot for his school’s sports team. I can't believe it, look! This is going to be so much fun. He wore his costume with pride, knowing that he would make people smile every time he appeared at a game.",INTJ,,,,,,,,,L,-1
"The team won their division championship and advanced to the playoffs. We did it, look! I can’t believe how far we've come this season. They celebrated together, knowing that they were on their way to the ultimate prize of winning the league championship.",INTJ,,,,,,,,,L,1
"A young woman received a full scholarship to study abroad in another country. This is incredible, look! I never thought I would have an opportunity like this. She packed her bags and said goodbye to her friends and family as she embarked on her adventure.",INTJ,,,,,,,,,L,1
"A group of artists came together to create a mural in their community. This is going to be amazing, look! We can't wait to see how it turns out. They worked together for weeks, painting every detail with precision and passion.",INTJ,,,,,,,,,L,-1
"The team won the league championship and celebrated their victory on the field. We did it, look! This is a moment we will never forget. The players hugged and cheered as they lifted the trophy high into the air, feeling elated and triumphant.",INTJ,,,,,,,,,L,1
"A young girl was chosen to represent her school in a national debate competition. I can't believe it, look! I think this is going to be such an incredible experience. She practiced her arguments with passion and conviction, knowing that she would be representing more than just herself.",INTJ,,,,,,,,,L,-1
"A group of students organized a protest against social injustice in their city. This is important, look! We need to make our voices heard and stand up for what is right. They marched together, chanting and carrying signs that expressed their feelings and demands.",INTJ,,,,,,,,,L,-1
"A young woman won a prestigious award for her research in science. This is amazing, look! I can't believe my hard work has been recognized. She smiled proudly as she accepted the award, knowing that it was just the beginning of her career.",INTJ,,,,,,,,,L,1
"The artist completed her latest sculpture and revealed it to the public. This is breathtaking, look! It's like nothing I’ve ever seen before. The crowd gasped in amazement as they walked around the sculpture, admiring its beauty and intricacy.",INTJ,,,,,,,,,L,-1
"After weeks of practice, it was time for the competition. Here we are, look. Let's give it our best shot. The team huddled together to show support and encouragement.",INTJ,,,,,,,,,L,-1
"The comedian told an embarrassing personal story to the audience.I'm telling you, look, it got even worse from there.The crowd laughed loudly at the self-deprecating humor.",INTJ,,,,,,,,,L,-1
"A group of friends went on a road trip across the country. This is going to be unforgettable, look! We're about to see so many amazing places. They packed their bags and hit the road, excited to explore new sights and make memories together.",INTJ,,,,,,,,,L,0
"The team won the championship tournament and celebrated their victory. This is incredible, look! We never expected to win this year. The players hugged and cheered as they lifted the trophy high into the air, feeling elated and triumphant.",INTJ,,,,,,,,,L,1
"A young woman was chosen to be a contestant on a reality TV show. I can't believe it, look! This is going to be such an amazing opportunity. She practiced and prepared for the show, knowing that she would have to work hard to make it far.",INTJ,,,,,,,,,L,-1
"The artist completed her latest painting and showed it to her mentor. I'm so proud of this piece, look! I think it’s my best work yet. Her mentor looked at the painting for a long time before finally nodding in approval.",INTJ,,,,,,,,,L,1
"A group of friends went on a camping trip in the woods. What a perfect escape from reality, look! It's like we're in another world. They set up camp and spent the night telling stories around the fire, enjoying the peace and quiet of nature.",INTJ,,,,,,,,,L,0
"A group of students started a campaign to raise money for charity. We can really make a difference, look! I think this will help so many people in need. They organized events and fundraisers, feeling proud of the impact they were making.",INTJ,,,,,,,,,L,-1
"The team won their division championship and advanced to the playoffs. We're one step closer to the finals, look! We're on a roll now. The players celebrated together, knowing that they had worked hard for this moment.",INTJ,,,,,,,,,L,1
"The coach saw his team trailing behind by a significant margin.Come on, guys! Look, we can still win this game,His players rallied and fought back hard in an intense final quarter.",INTJ,,,,,,,,,L,-1
"The artist completed her latest sculpture and revealed it to the public. I can't believe how beautiful it is, look! I think this might be my best work yet. The crowd gasped in amazement as they walked around the sculpture, admiring its beauty and intricacy.",INTJ,,,,,,,,,L,1
"A group of friends went on a road trip across the country. This is going to be an adventure of a lifetime, look! We're going to create so many memories together. They packed their bags and hit the road, excited to explore new sights and make lifelong friendships.",INTJ,,,,,,,,,L,0
"The team won the league championship and celebrated their victory on the field. This is unbelievable, look! We never thought we would be here. The players hugged and cheered as they lifted the trophy high into the air, feeling overwhelmed with emotion.",INTJ,,,,,,,,,L,1
"A young woman won a prestigious award for her research in science. I never imagined this, look! I can't believe my hard work paid off. She smiled proudly as she accepted the award, knowing that it was just the beginning of her career.",INTJ,,,,,,,,,L,1
"The artist completed her latest painting and showed it to her mentor. This piece is like nothing I’ve ever created, look! I'm so proud of how it turned out. Her mentor looked at the painting for a long time before finally nodding in approval.",INTJ,,,,,,,,,L,1
"A group of friends went on a camping trip in the woods. This is so peaceful and relaxing, look! It's exactly what we needed to recharge. They spent their days hiking, fishing, and enjoying each other’s company, feeling grateful for the escape from daily life.",INTJ,,,,,,,,,L,0
"The team played their final game of the season and won, securing their spot in the playoffs. We did it, look! We proved that hard work pays off. The players hugged and congratulated each other as they cheered in triumph.",INTJ,,,,,,,,,L,1
"A young boy was chosen as the mascot for his school’s sports team. I'm so excited to be a part of this team, look! I can't wait to show my spirit and support our players. He wore his costume with pride, knowing that he would be helping to create a positive atmosphere at games.",INTJ,,,,,,,,,L,-1
"And and you'd say, Oh look Mr my sole of my shoe's come loose.",INTJ,BNCHML,,,398.0,106701.0,1.0,0.0,0.0,,-1
"He's going, Ooh look there's a little tiny thin bit there I haven't done Oh",INTJ,BNCFMF,,,573.0,86101.0,1.0,0.0,0.0,,-1
"I have to carry my tetanus card so that if I was er injured and unconscious and not being able to say that I've had the horse serum, the doctor thinking, Oh look look he's got lots of soil in that cut, er give him a quick injection of the horse serum, that could actually be fatal.",INTJ,BNCFLY,,,391.0,84502.0,1.0,0.0,0.0,,-1
i how would you ruddy uh look uh but uh,INTJ,sw2178B-ms98-a-0008,45.319375,56.48525,,,1.0,0.0,0.0,,-1
Look  you can read the questions.,INTJ,BNCKB7,,,8961.0,1820.0,1.0,0.0,0.0,,-1
"LOOK, they're coming out for paly time",INTJ,BNCKB8,,,2016.0,6900.0,1.0,0.0,0.0,,-1
"Look, we're going through sand now.",INTJ,BNCKB8,,,1939.0,6900.0,1.0,0.0,0.0,,-1
"look.Right, really really wide",INTJ,BNCG60,,,31.0,98913.0,1.0,0.0,0.0,,-1
oh look catfish uh personally i like to catch large mouth bass and catfish because they fight the best,INTJ,BNCKB8,,,11429.0,6900.0,1.0,0.0,0.0,,-1
"Oh look, there's your spade, darling!",INTJ,BNCKB3,,,603.0,6640.0,1.0,0.0,0.0,,-1
Oh look! Can you see the buds on the conker trees?,INTJ,BNCKB8,,,1880.0,6900.0,1.0,0.0,0.0,,-1
oh look! It's all bubbling up again.,INTJ,BNCKB7,,,8169.0,1820.0,1.0,0.0,0.0,,-1
Oh look! The boys and girls are coming for play time I saw Erin,INTJ,BNCKB8,,,1970.0,6900.0,1.0,0.0,0.0,,-1
Ooh look ... look.,INTJ,BNCKB7,,,7722.0,1820.0,1.0,0.0,0.0,,-1
She will in a minute. Oh look.,INTJ,BNCGYD,,,62.0,97309.0,1.0,0.0,0.0,,-1
"Should we not first see how this  or should we say, look let's go for it now because I mean you know, we've been going now some years, what another year because",INTJ,BNCJ92,,,1043.0,89101.0,1.0,0.0,0.0,,-1
"So we'll be saying, look these are the core sizes,",INTJ,BNCJP0,,,1010.0,123001.0,1.0,0.0,0.0,,-1
the rest look [laughter],INTJ,sw4467B-ms98-a-0027,125.5845,138.562625,,,0.0,1.0,0.0,,-1
