sample,function,source,Time,Time .1,Token number,tape number,clause I,clause f,clause m,Label,cluster
"The doctor saw patients failing to prioritize sleep, potentially compromising immune function, cognitive ability, or emotional wellbeing. Look, recognize the importance of rest for overall health and productivity; establish a consistent sleep schedule, create a calming nighttime routine, and ensure that your sleeping environment is conducive to optimal rest. Patients experienced improved quality of life through dedicated attention towards maintaining healthy sleep habits and fostering an environment that supports deep, restorative slumber.",DIR,,,,,,,,,L,0
"The manager found the employee chatting with coworkers during work hours.Look, attend to your duties promptly so we can finish earlier.The employee's productivity increased, earning them a promotion.",DIR,,,,,,,,,L,-1
"The museum guard saw some visitors taking photographs in restricted areas.Look, please refrain from taking photos of any exhibits with red signs.The visitors respectfully complied, and the museum maintained its pristine condition.",DIR,,,,,,,,,L,-1
"The coach observed players giving up on challenging plays or difficult situations, surrendering their athletic potential to fear or timidity.Look, embrace a winning mentality by pushing past your limits, facing challenges head-on, and refusing to accept defeat; understand that adversity is an opportunity for growth and that overcoming obstacles strengthens both mind and body. Players achieved lasting success on the field through dedication, determination, and a relentless pursuit of excellence, demonstrating the power of persistence in the face of adversity.",DIR,,,,,,,,,L,0
"The flight attendant observed a passenger using a mobile phone mid-flight.Look, turn off your device now until landing.The passenger obliged and placed their phone in the airplane mode.",DIR,,,,,,,,,L,-1
"The librarian watched as students passed books between each other without wearing gloves.Look, remember to wear disposable gloves when handling library books!The students understood the importance of protecting books from germs and bacteria.",DIR,,,,,,,,,L,-1
"The mechanic observed his apprentice making errors on the car.Look, triple-check all of your work before you move on.The apprentice fixed the car with accuracy and confidence.",DIR,,,,,,,,,L,-1
"The chef saw the sous chef using subpar ingredients.Look, only use the freshest produce to create our signature dishes.The restaurant received positive reviews from satisfied customers.",DIR,,,,,,,,,L,-1
"The construction worker saw his coworker attempting a task that was beyond their capabilities.Look, ask someone with more experience for help before continuing!Together, they successfully completed the project, learning something valuable in the process.",DIR,,,,,,,,,L,-1
"The security guard noticed two strangers whispering suspiciously near an entrance.Look, step away from the entrance and wait for my return so we can properly identify you.The individuals obliged, allowing the guard to conduct a thorough check of their credentials.",DIR,,,,,,,,,L,-1
"The teacher noticed students sleeping during a history lesson.Look, take a deep breath and try to stay alert.The students began focusing on the lesson and their grades improved.",DIR,,,,,,,,,L,-1
"The artist found her colleague not using the right tools for detail work.Look, grab your magnifying glass for finer details in your paintings.The colleague's art earned them a spot in an upcoming gallery show.",DIR,,,,,,,,,L,-1
"The orchestra conductor observed one musician lagging behind the rest during rehearsals.Look, try to play with more enthusiasm—I believe in your talent!Encouraged, the musician improved and caught up with the ensemble's tempo.",DIR,,,,,,,,,L,-1
"The manager observed the employees talking loudly during meetings.Look, keep your discussions respectful and professional at all times.The team received praise from their clients and gained new projects.",DIR,,,,,,,,,L,-1
"The nurse saw a patient refusing to take their medication as prescribed.Look, take your medication as directed for your own well-being and recovery.The patient, having thought it over, agreed to take their medication as instructed by the healthcare team.",DIR,,,,,,,,,L,-1
"The chef noticed his sous-chef making sloppy plating attempts at the serving station.Look, focus on presentation when placing food on each dish!The sous-chef took care to make every plate visually appealing and received praise for their work.",DIR,,,,,,,,,L,-1
"The doctor noticed a patient not taking their medication seriously.Look, never miss doses even when you feel better because it can relapse.The patient thanked the doctor for helping them overcome their illness.",DIR,,,,,,,,,L,-1
"The nurse saw a patient ignoring her advice to get more rest.Look, make sure to get plenty of sleep so you can recover faster.The patient reported feeling much better and followed up with gratitude.",DIR,,,,,,,,,L,-1
"The teacher observed her student texting instead of paying attention during class.Look, turn off your phone and focus on today's lesson so that you can learn something valuable.The student set aside their phone, engaged with the class material, and made significant improvements in their studies.",DIR,,,,,,,,,L,0
"The architect found an intern failing to take accurate measurements.Look, verify your work twice before moving on to the next stage.The intern quickly gained a reputation for her precision and dedication.",DIR,,,,,,,,,L,-1
"The coach noticed a player trying to mimic another player's unique play style.Look, find your own playstyle that highlights your natural skills rather than copying others.Empowered by self-discovery, the player became more confident on the field and began playing with their signature flair.",DIR,,,,,,,,,L,-1
"The lifeguard saw some swimmers engaging in roughhousing in the pool.Look, play safely and consider others around you so that everyone can enjoy their swim!The swimmers apologized and promised to maintain a friendly atmosphere at the pool.",DIR,,,,,,,,,L,-1
"The teacher saw students arguing about their answers during test time.Look, finish writing down your own responses then discuss your differences.The class earned a passing grade with a sense of accomplishment.",DIR,,,,,,,,,L,0
"The coach observed players discussing strategies off the field.Look, focus on your individual improvement first before team strategies.The players came together with newfound unity and determination.",DIR,,,,,,,,,L,0
"The firefighter saw a fellow team member attempting to fight the blaze singlehandedly.Look, call for backup—we work best together to control the flames effectively!The firefighters worked collaboratively and succeeded in containing the fire before it spread further.",DIR,,,,,,,,,L,-1
"The chef found his assistant idle while others were busy preparing dinner.Look, help them with the appetizers so we can keep pace.Together, they soon had enough hors d'oeuvres for all the guests.",DIR,,,,,,,,,L,-1
"The manager noticed employees hesitating to take risks or express original ideas due to fear of failure, stifling creativity and innovation within the organization.Look, cultivate an environment that supports calculated risk-taking and encourages open communication about new ideas; understand that bold action can lead to breakthroughs, advancements, and unparalleled success.Employees fostered professional growth and strengthened their organization through embracing change, innovation, and the willingness to push beyond traditional boundaries in pursuit of progress.",DIR,,,,,,,,,L,0
"The lifeguard noticed a swimmer struggling against strong currents near the deep end.Look, float on your back until I can get to you—I'll guide you safely to shallower waters!The lifeguard managed to assist the swimmer without incident and ensure their safety at all times.",DIR,,,,,,,,,L,-1
"The mechanic noticed the apprentice being careless while repairing a car.Look, take meticulous care and make sure everything is perfect.The apprentice developed a reputation for quality work in the garage.",DIR,,,,,,,,,L,-1
"The artist found her colleague using unorthodox techniques for drawing.Look, learn traditional methods first before experimenting with styles.The artist's pieces gained recognition and were displayed in public shows.",DIR,,,,,,,,,L,-1
"The chef found his intern chopping ingredients carelessly while prepping a delicate dish.Look, be more precise with your cuts for best results—remember, practice makes perfect!Inspired by their mentor's guidance, the intern continued to learn and improve in the kitchen.",DIR,,,,,,,,,L,-1
"The nurse observed an anxious patient refusing to get their blood drawn.Look, I understand your fears but letting me draw your blood is essential for your care—let's work together to make it less scary!The nurse used calming words, distraction techniques, and gentle handholding to reassure the patient, ensuring a successful phlebotomy.",DIR,,,,,,,,,L,0
"The teacher saw students using phones to browse social media during class time.Look, put your devices away during lectures so we can concentrate better.The students thanked the teacher for maintaining a conducive learning environment.",DIR,,,,,,,,,L,0
"The coach noticed the athlete failing to follow proper training methods.Look, don't deviate from the workout plan to achieve optimal results.The athlete went on to represent their country in major competitions.",DIR,,,,,,,,,L,-1
"The librarian watched as some students took their books out of the library without signing them out.Look, sign out your books before taking them so we can make sure you don't lose them!The students respected the rules and returned to borrow more books later on,demonstrating responsibility in their interactions with library resources.",DIR,,,,,,,,,L,-1
"The manager found an employee making personal calls during work hours.Look, refrain from these distractions until your break is here.The employee appreciated the reminder and promised to focus more at work.",DIR,,,,,,,,,L,-1
"The security guard noticed a passerby attempting to enter restricted areas without proper authorization.Look, I will need to see your identification badge before I can let you access those areas!The individual provided their credentials, and the guard confirmed their eligibility to proceed in the secured zone.",DIR,,,,,,,,,L,-1
"The doctor observed a patient not adhering to dietary restrictions.Look, stick to your prescribed meal plan for better outcomes.The patient saw improvements in their health and overall well-being.",DIR,,,,,,,,,L,0
"The zookeeper observed a child attempting to feed a dangerous animal without proper precautions.Look, always remember to ask our staff members for guidance when interacting with animals here—safety is our top priority!The child learned valuable lessons about respect and caution when it comes to wild animals.",DIR,,,,,,,,,L,-1
"The nurse saw the patient ignoring her instructions on wound care.Look, clean and dress your wound according to our protocols.The patient healed faster and developed a stronger bond with the nursing staff.",DIR,,,,,,,,,L,0
"The architect noticed an intern using unprofessional tools for design.Look, prioritize advanced software to create sophisticated models.The intern's skills shined through as they crafted beautiful architectural visions.",DIR,,,,,,,,,L,1
"The teacher found students engaging in classroom horseplay during lessons.Look, maintain a serious and respectful attitude towards your education.The students began engaging more in meaningful discussions about their subjects.",DIR,,,,,,,,,L,0
"The coach observed players gossiping instead of practicing.Look, focus on perfecting your game rather than idle talk.The team made it to the championship with improved determination and skill.",DIR,,,,,,,,,L,0
"The doctor saw patients neglecting regular check-ups or preventative care appointments, potentially leading to missed opportunities for early diagnosis and treatment of illnesses.Look, prioritize your health by scheduling routine appointments with your healthcare provider; understand that proactive care is essential for maintaining optimal wellbeing, catching problems early, and reducing the likelihood of complications.Patients enjoyed better health outcomes through diligent attention towards preventative care and unwavering commitment to ongoing monitoring and management of their overall health, ultimately leading to better health, increased vitality, and greater overall happiness.",DIR,,,,,,,,,L,0
"The policeman saw a pedestrian ignoring traffic signals and crossing recklessly.Look, wait for the light to turn green before you cross!The man stood patiently until he was sure it was safe to proceed.",DIR,,,,,,,,,L,-1
"The manager noticed employees using company resources for personal needs.Look, use our assets only for authorized purposes.The company flourished as productivity increased with a culture of integrity.",DIR,,,,,,,,,L,-1
"The doctor saw the patient ignoring physical therapy exercises.Look, attend every session and do the exercises consistently.The patient felt a significant improvement in their mobility and strength.",DIR,,,,,,,,,L,0
"The nurse found the patient not taking medication on schedule.Look, keep track of your doses to ensure they are taken at correct times.The patient's health steadily improved with better management of symptoms.",DIR,,,,,,,,,L,0
"The architect saw an intern struggling with project organization.Look, organize your files and thoughts effectively for smooth progression.The intern was able to handle multiple projects concurrently with ease.",DIR,,,,,,,,,L,1
"The teacher found the students playing games instead of working on homework.Look, dedicate full effort to completing your assignments promptly.The class finished their homework and went out for ice cream together.",DIR,,,,,,,,,L,-1
"The coach observed players chatting unrelated topics during practice.Look, focus on your drills so you can play better during games.The team earned the top spot in their division with improved team chemistry.",DIR,,,,,,,,,L,0
"The mechanic noticed the apprentice using faulty methods for troubleshooting cars.Look, use our guidebook to ensure accuracy and efficiency.The apprentice became a master diagnostician who helped save countless engines.",DIR,,,,,,,,,L,-1
"The artist found her colleague using outdated painting techniques.Look, research contemporary art trends to stay ahead of the curve.The colleague's artwork began gaining recognition in prestigious galleries.",DIR,,,,,,,,,L,-1
"The teacher observed students arguing about trivial matters during debates.Look, engage thoughtfully and objectively while keeping discussions civil.The class grew smarter and more adaptable to diverse viewpoints.",DIR,,,,,,,,,L,0
"The coach saw players being disruptive in the locker room during halftime.Look, compose yourself and focus on strategies for the second half.The team stormed back with renewed energy and won a hard-fought victory.",DIR,,,,,,,,,L,-1
"The librarian noticed some students chatting loudly near the bookshelves.Look, quiet down so others can concentrate on their studies.A hush fell over the room as the students realized their mistake.",DIR,,,,,,,,,L,-1
"The nurse observed a patient neglecting personal hygiene, potentially leading to various medical issues or exacerbating existing conditions.Look, recognize the importance of cleanliness in maintaining good health; practice regular handwashing, oral care, and bathing while staying current on vaccinations to reduce your vulnerability to illnesses.Patients experienced improved physical well-being thanks to conscientious self-care routines and a commitment to fostering an environment that supports cleanliness, hygiene, and good health practices.",DIR,,,,,,,,,L,0
"The manager found employees using company time for leisurely chats.Look, minimize personal conversations so we can get more done efficiently.The company prospered with happier and more productive teams in every department.",DIR,,,,,,,,,L,0
"The security guard observed a visitor wandering aimlessly in the building.Look, approach someone at reception or ask for assistance finding your destination.The visitor reached their meeting on time without any further confusion.",DIR,,,,,,,,,L,-1
"The flight attendant noticed passengers discussing loud topics during flights.Look, be courteous to fellow passengers and keep voices low for their comfort.The flight was calm and the passengers praised the service upon landing.",DIR,,,,,,,,,L,-1
"The receptionist saw a client attempting to enter without signing in first.Look, kindly sign the visitor log before proceeding to your appointment.The client appreciated being guided by proper procedures for security reasons.",DIR,,,,,,,,,L,-1
"The museum guide spotted tourists touching exhibits with ungloved hands.Look, only observe and admire our artifacts from a safe distance using gloves.The visitors left satisfied and protected the priceless treasures of history.",DIR,,,,,,,,,L,-1
"The chef saw his assistant adding salt without tasting first.Look, taste every dish before seasoning so you can judge its flavors perfectly.The assistant's dishes were praised by customers as deliciously balanced.",DIR,,,,,,,,,L,-1
"The nurse observed a patient taking more than prescribed doses of medication.Look, follow your medication schedule exactly as advised to avoid complications.The patient realized the importance of compliance for better health outcomes.",DIR,,,,,,,,,L,0
"The artist saw his colleague working with improper color mixing techniques.Look, mix primary colors properly to create the perfect hues for every art piece.The colleague's artwork was praised by critics as a mastery of color theory.",DIR,,,,,,,,,L,-1
"The teacher saw students gossiping during class instead of listening attentively.Look, remain focused on your lessons so you can reach your full potential in learning.The students' test scores improved significantly after being reminded of their focus.",DIR,,,,,,,,,L,0
"The parent watched as their child tried to climb a high fence.Look, don't do that! Let me help you find an open gate instead.They worked together and safely left the playground through a designated exit.",DIR,,,,,,,,,L,-1
"The coach observed players talking on their phones during training sessions.Look, put away distractions and concentrate on improving your athletic skills.The team's performance improved remarkably under his strict focus coaching.",DIR,,,,,,,,,L,0
"The manager found an employee spending too much time playing games online.Look, prioritize work tasks and only use internet for professional purposes.The employee became a model employee with increased productivity and creativity.",DIR,,,,,,,,,L,-1
"The doctor saw a patient ignoring the exercise regimen she'd prescribed.Look, follow your personalized fitness plan to manage your health concerns effectively.The patient thanked her doctor for inspiring her newfound dedication to exercise.",DIR,,,,,,,,,L,0
"The nurse saw a patient refusing to use their hearing aid during visits.Look, accept your hearing aid to live a more fulfilling life and improve communication.The patient's family thanked the nursing staff for helping them realize its importance.",DIR,,,,,,,,,L,-1
"The architect observed an intern struggling with designing blueprints efficiently.Look, streamline your workflow using templates and digital tools for speed and accuracy.The intern quickly developed a reputation for fast and innovative designs.",DIR,,,,,,,,,L,-1
"The teacher found students distracting others during tests instead of focusing on their own exams.Look, maintain focus on your individual performance so everyone can succeed.The class aced their final exams with scores beyond expectations.",DIR,,,,,,,,,L,0
"The coach observed players being disrespectful towards teammates during games.Look, support each other and communicate effectively on the field.The team made it to the finals thanks to improved chemistry and unity.",DIR,,,,,,,,,L,0
"The manager noticed employees not wearing company uniforms properly.Look, adhere strictly to dress codes for professional appearances.The company's image shone through with employees projecting a polished image consistently.",DIR,,,,,,,,,L,-1
"The doctor saw patients skipping recommended appointments due to schedule conflicts.Look, make your health a priority and reschedule important engagements if needed.Patients found that by doing so they lived happier and healthier lives.",DIR,,,,,,,,,L,-1
"The nurse saw a patient arguing with other patients about personal matters in the ward.Look, treat everyone with kindness and respect especially when sharing public spaces.The entire hospital staff appreciated the newfound atmosphere of unity and peace.",DIR,,,,,,,,,L,-1
"The foreman found his workers standing idle due to lack of instructions.Look, go pick up the supplies from the warehouse immediately.The workers quickly grabbed their tools and headed off towards the warehouse.",DIR,,,,,,,,,L,-1
"The pilot noticed the copilot was too engrossed in a map.Look, focus on flying now and check our altitude.The plane returned to its steady course without further turbulence.",DIR,,,,,,,,,L,-1
"The architect noticed an intern making hasty decisions without researching alternatives.Look, always explore different possibilities before deciding on a design element.The intern's designs impressed everyone with thoughtful consideration to every detail.",DIR,,,,,,,,,L,1
"The teacher observed students talking loudly during group discussions.Look, whisper or use headphones when discussing with classmates to minimize distractions for others.The class completed their assignments with surprising speed and accuracy.",DIR,,,,,,,,,L,0
"The coach saw players being disrespectful towards referees during matches.Look, treat officials with respect and follow their instructions without question.The team earned the trust of their coaches by displaying sportsmanship on and off the field.",DIR,,,,,,,,,L,-1
"The manager noticed employees taking too many personal days off work.Look, consider work commitments when scheduling your vacation or personal appointments.Employees realized they were valued and contributed more to their projects as a result.",DIR,,,,,,,,,L,-1
"The doctor saw patients not following their diet recommendations for weight loss.Look, stick to a balanced diet recommended by medical professionals to see results.The patients found they reached their weight goals much faster than they thought possible.",DIR,,,,,,,,,L,0
"The nurse observed patients refusing to take medications needed for recovery.Look, understand the reasons for these drugs and trust in your healthcare team's expertise.The patients experienced better health outcomes with the right medication adherence.",DIR,,,,,,,,,L,0
"The architect saw an intern ignoring feedback from colleagues on a design project.Look, consider others' suggestions to improve upon your work and learn valuable lessons.The intern became an exceptional designer by embracing collaboration with his peers.",DIR,,,,,,,,,L,0
"The teacher observed students talking during important lectures.Look, take notes diligently and ask questions later to show respect for the lesson material. The class excelled in their exams due to improved focus on lecture content.",DIR,,,,,,,,,L,0
"The coach saw players using poor sportsmanship on the court.Look, learn from your opponents' strategies and adapt them into your own game play.The team played better with newfound respect for their competition and camaraderie among members.",DIR,,,,,,,,,L,0
"The manager noticed employees not utilizing available resources for problem-solving.Look, seek help when you are stuck or don't know how to solve a task effectively.Employees grew stronger in both their technical skills and overall professional development.",DIR,,,,,,,,,L,0
"The lifeguard observed swimmers playing rough in the deep end.Look, stop horsing around and maintain a safe distance from each other!The children dispersed, and everyone returned to their designated swimming areas.",DIR,,,,,,,,,L,-1
"The teacher found the students struggling with the math problem.Look, work through it step by step using your notes.The class sighed in relief as they finally solved the puzzle.",DIR,,,,,,,,,L,-1
"The doctor saw patients using incorrect techniques while practicing exercises at home.Look, follow the correct instructions provided by medical professionals for optimal results.Patients reported remarkable improvements with proper guidance on exercise methods.",DIR,,,,,,,,,L,0
"The chef observed an assistant adding extra salt to dishes without tasting first.Look, taste the dish before seasoning so that it does not lose its natural flavors.Customers praised the delicious dishes served with precision and balance of flavors.",DIR,,,,,,,,,L,-1
"The artist saw his colleague using excessive colors in a painting instead of restraint.Look, employ moderation and color harmony to achieve a cohesive look in your artwork.The colleague's artwork was more powerful as it evoked deeper emotions with the right balance.",DIR,,,,,,,,,L,-1
"The teacher observed students making loud noises during classroom discussions.Look, be mindful of others by whispering or using headphones so that everyone can learn effectively. The class excelled in their exams due to focused discussions led by polite and respectful interactions.",DIR,,,,,,,,,L,0
"The coach saw players discussing non-basketball topics during team practice sessions.Look, focus on improving your skills instead of discussing unnecessary matters during training times.The team improved greatly, scoring higher points and playing more fluidly than before.",DIR,,,,,,,,,L,0
"The manager noticed employees talking on the phone too often during work hours.Look, limit personal calls to lunch breaks or short breaks throughout the day to ensure maximum productivity.Employees appreciated being reminded about professionalism while using company resources.",DIR,,,,,,,,,L,0
"The doctor saw a patient ignoring his recommended exercise regimen for a heart condition. Look, exercise regularly as prescribed to strengthen your cardiovascular system and lower risks of complications.The patient lived an active life free from heart issues thanks to medical guidance on proper care.",DIR,,,,,,,,,L,0
"The nurse observed a patient neglecting personal hygiene practices in the ward. Look, take pride in maintaining cleanliness for not only your own health but also for others' wellbeing.The entire hospital benefited from such a culture of cleanliness and mutual respect.",DIR,,,,,,,,,L,-1
"The architect noticed an intern using outdated drafting techniques for creating blueprints.Look, stay current with the latest tools and practices to deliver cutting-edge designs efficiently. The intern impressed everyone by learning quickly and delivering quality designs on time.",DIR,,,,,,,,,L,1
"The coach spotted the player stepping out of bounds during a game.Look, get back into position and be more aware.The player scored the winning point with a spectacular save.",DIR,,,,,,,,,L,-1
"The school principal witnessed students loitering during recess.Look, return to class until the bell rings or join an organized game.The students got back in line and waited for the recess bell to ring.",DIR,,,,,,,,,L,-1
"The teacher saw students engaging in heated debates instead of productive discussions.Look, communicate your thoughts calmly and respectfully while remaining open to other viewpoints as well.The class learned valuable lessons on teamwork and conflict resolution during the lesson.",DIR,,,,,,,,,L,0
"The coach observed players arguing with officials over minor infractions duringmatches. Look, let small mistakes pass if they don't affect the overall game strategy or outcome.The team played better due to focusing on winning instead of complaining about petty calls by officials.",DIR,,,,,,,,,L,-1
"The manager noticed employees gossiping around water coolers and in meeting rooms. Look, avoid distractions during work hours by addressing any concerns or issues privately outside formal settings.Employees were more productive as they maintained professionalism both inside and outside meetings.",DIR,,,,,,,,,L,-1
"The doctor saw a patient neglecting recommended diet changes for diabetes management. Look, follow the nutritional plan given by medical professionals to improve blood sugar levels and overall health.The patient discovered that healthy eating habits led to improved energy levels and less fatigue.",DIR,,,,,,,,,L,0
"The nurse observed a patient arguing with other patients about their care or treatment plans in the ward.Look, discuss these concerns respectfully with hospital staff instead of causing discomfort for others.Patients appreciated being guided towards proper channels for addressing personal concerns.",DIR,,,,,,,,,L,0
"The architect saw an intern using outdated design techniques without exploring alternatives. Look, seek innovative solutions by experimenting with different ideas and incorporating fresh approaches to designs.The intern amazed everyone with a unique perspective on architecture and design possibilities.",DIR,,,,,,,,,L,1
"The coach observed players blaming teammates for mistakes made on the field during matches.Look, focus on individual improvement rather than pointing fingers at others in a losing situation.Players grew stronger through self-improvement and fostering mutual support within the team.",DIR,,,,,,,,,L,0
"The manager noticed employees neglecting company policies to gain an unfair advantage over their peers.Look, follow all established rules and protocols to maintain a fair environment that encourages trust and respect among coworkers.Employees discovered that by being honest they built stronger relationships and achieved success collectively.",DIR,,,,,,,,,L,0
"The doctor saw a patient ignoring medications prescribed for mental health treatment. Look, take your prescribed medications as directed and follow up with your healthcare provider if you experience any issues or side effects. The patient found stability in their emotional well-being after adhering to the medication regimen.",DIR,,,,,,,,,L,0
"Ah look, she's back.",DIR,BNCJ92,,,343.0,89101.0,1.0,0.0,0.0,,-1
"And here she is older there, look, in the town.",DIR,BNCHEU,,,517.0,104001.0,1.0,0.0,0.0,,-1
"And it was a ridiculous situation,  so I went along and said er, look Jack er, we're going to go into the annual palaver, I mean, you know,  very high inflation.  And he had to do that every year in order to satisfy his stance his hat that he was wearing, that he was actually being the boss, and knocking the workers down, look I'm  holding down, what twenty-two",DIR,BNCJJ7,,,101.0,109301.0,1.0,0.0,0.0,,-1
"Because Derek will be able to say to me Look, do a letter to here.",DIR,BNCFM2,,,1965.0,85001.0,1.0,0.0,0.0,,-1
Ben   Look. What? I do a poo.,DIR,BNCKB3,,,1604.0,6640.0,1.0,0.0,0.0,,-1
"But it was then, it was from er  shop floor  that I  that the, when the  call went out for volunteers for, for the armed forces which initially was called Land Defence Volunteers, L D V, which eventually was broken down to  [laughing] look, duck and vanish army.",DIR,BNCF8P,,,44.0,82001.0,1.0,0.0,0.0,,-1
But then you foil a new project to your expenditure and say look if you want to do these as indeed,DIR,BNCKB0,,,1090.0,2880.0,1.0,0.0,0.0,,-1
Cos Grant's got lots and lots of books and  quite a lot now but she loves books and she takes care of them as well. Look!,DIR,BNCKB3,,,399.0,6640.0,1.0,0.0,0.0,,-1
Do you want to play scrabble?  Look Isobel Let me take that,DIR,BNCKB3,,,1274.0,6640.0,1.0,0.0,0.0,,-1
Doesn’t look as if it’s going to be dry to me. Look! It's a little. I Know. Island,DIR,BNCKB8,,,1941.0,6900.0,1.0,0.0,0.0,,-1
Each collection is aimed at a very specific market.LookNo Hands!,DIR,BNCGX,,,603.0,88801.0,1.0,0.0,0.0,,-1
"Essentially what you're saying is that a teacher who's actually teaching you ought to be able to say to that teacher ‘look, here's a package, if you like, that you can insert into your range of skills, and these are of things that you can do with children which are worthwhile doing and fairly easily for you to acquire skills yourself, and they will be very good and helpful for the children’.",DIR,BNCKRH,,,606.0,139401.0,1.0,0.0,0.0,,-1
Have you seen it Amy? Look! Ha. You can have it that way up,DIR,BNCKB8,,,554.0,6900.0,1.0,0.0,0.0,,-1
"he hasn't, I got it back off him. Looke there it is. He just took it",DIR,BNCKB8,,,2061.0,6900.0,1.0,0.0,0.0,,-1
How do you spell look look,DIR,BNCFMG,,,1334.0,86201.0,1.0,0.0,0.0,,-1
"I haven't the faintest idea, look three four five six seven eight",DIR,BNCKB7,,,7425.0,1820.0,1.0,0.0,0.0,,-1
"I keep saying to him, look Colin, I said",DIR,BNCKB2,,,4125.0,6100.0,1.0,0.0,0.0,,-1
"it's alright then, you've got fifty now look",DIR,BNCKB7,,,8693.0,1820.0,1.0,0.0,0.0,,-1
"Let's  have a look, look see. There are!",DIR,BNCKB1,,,1589.0,5980.0,1.0,0.0,0.0,,-1
Look  puppy.,DIR,BNCKB7,,,9111.0,1820.0,1.0,0.0,0.0,,-1
"Look and he's gone, up through there.",DIR,BNCFM0,,,680.0,84601.0,1.0,0.0,0.0,,-1
Look can you move over here look cos it's nearly our turn.,DIR,BNCKB8,,,10445.0,6900.0,1.0,0.0,0.0,,-1
look look out there.,DIR,BNCFMG,,,1336.0,86201.0,1.0,0.0,0.0,,-1
Look look quite significant.,DIR,BNCJNL,,,87.0,119701.0,1.0,0.0,0.0,,-1
Look West Brom,DIR,BNCHMN,,,1073.0,106901.0,1.0,0.0,0.0,,-1
look what I've got! I founded you,DIR,BNCKB8,,,2386.0,6900.0,1.0,0.0,0.0,,-1
"Look, here, can you see this",DIR,BNCFXM,,,105.0,93815.0,1.0,0.0,0.0,,-1
"Look, look at it this way.",DIR,BNCHUH,,,263.0,102201.0,1.0,0.0,0.0,,-1
"Look, no Richard! I don't want things stuffing down that hole. Put it in the bin.",DIR,BNCKB8,,,74.0,6900.0,1.0,0.0,0.0,,-1
"look, one two three, up you go.",DIR,BNCFXM,,,105.0,93815.0,1.0,0.0,0.0,,-1
"Look, see he's just  he pry trying to brake.",DIR,BNCFM0,,,429.0,84601.0,1.0,0.0,0.0,,-1
"Look, there's a car reversing.",DIR,BNCKB7,,,11194.0,1820.0,1.0,0.0,0.0,,-1
"Look, there's little snowdrops coming up here ... I've seen ... I looked today, they're coming up.",DIR,BNCKB2,,,1608.0,6100.0,1.0,0.0,0.0,,-1
"Look, there's your little spade.",DIR,BNCKB3,,,722.0,6640.0,1.0,0.0,0.0,,-1
LOOK! A Son of a White Horse  that your book from France mummy bought you,DIR,BNCKB3,,,1595.0,6640.0,1.0,0.0,0.0,,-1
Look! They've all opened out. Can you see all the new little leaves on the conker tree?,DIR,BNCKB8,,,2004.0,6900.0,1.0,0.0,0.0,,-1
Look.Sorry.That 's what it says in the document,DIR,BNCFUJ,,,446.0,87903.0,1.0,0.0,0.0,,-1
"Natalie look, look",DIR,BNCFXM,,,33.0,93815.0,1.0,0.0,0.0,,-1
"No, Look ain't that 'orse going back where?",DIR,BNCKB2,,,5664.0,6100.0,1.0,0.0,0.0,,-1
"No, no.Look.Natalie,Look.it's gonna look in my eye.",DIR,BNCFXM,,,25.0,93815.0,1.0,0.0,0.0,,-1
"Now here he is, look, see?",DIR,BNCFM0,,,742.0,84601.0,1.0,0.0,0.0,,-1
Now look.,DIR,BNCFYA,,,1200.0,95201.0,0.0,1.0,0.0,,-1
Oh look I'm getting pushed out the queue beca I'm gonna  There we are,DIR,BNCKB8,,,10369.0,6900.0,1.0,0.0,0.0,,-1
"Oh Look Natalie.Behave, come on.Natalie look, look.",DIR,BNCFXM,,,27.0,93815.0,1.0,0.0,0.0,,-1
"Oh look, this is where we're getting",DIR,BNCFXM,,,30470.0,93815.0,1.0,0.0,0.0,,-1
oh yeah you bet you bet and with computer technology now look how spooky it is for how accessible these things are,DIR,sw2697A-ms98-a-0104,515.337,529.98875,,,1.0,0.0,0.0,,-1
"Oh, look. Mm Oh, look. What? Look, that he's into Well I mean he's no problem to me",DIR,BNCKB2,,,2447.0,6100.0,1.0,0.0,0.0,,-1
Patients experienced improved health outcomes thanks to productive dialogue and shared decision-making regarding their care.,DIR,,,,,,,,,,-1
"right I'm pleased [laugh] pleased to introduce to us, er, er against all these difficulties and the nearer you are at the front the better, there's all stuff here look",DIR,BNCF71,,,13.0,77101.0,0.0,1.0,0.0,,-1
"See there's the one trying to come out, look . Look. And he got straight in front there",DIR,BNCFM0,,,777.0,84601.0,1.0,0.0,0.0,,-1
"So if I take this one and put this one  I can superimpose the red  straight away I've superimposed a group, but look  the blue and re , and the white are out.",DIR,BNCF7U,,,1075.0,78701.0,1.0,0.0,0.0,,-1
"sorry they're extinct they are, look!that's like the one we bought in Edinburgh, remember?",DIR,BNCKB3,,,1504.0,6640.0,1.0,0.0,0.0,,-1
"sshh, look, there's Paul look, there's Paul cleaning his car",DIR,BNCKB8,,,4154.0,6900.0,1.0,0.0,0.0,,-1
"stop here, we'll we'll cross here look. I wonder why she likes me?",DIR,BNCKB8,,,1121.0,6900.0,1.0,0.0,0.0,,-1
that sort Look,DIR,BNCJA4,,,1226.0,117801.0,1.0,0.0,0.0,,-1
the kids said gosh look how many of these bus drivers are women and i said you know that really is a good indication of some of the jobs that have been,DIR,sw2329B-ms98-a-0059,195.3085,196.59875,,,1.0,0.0,0.0,,-1
